# Resolved addresses found in D:\College\Semester-5\FCS_FoundationstoComputerSecurity\Foundations-to-Computer-Security-Assignments\Assignment-3\HW3_Resources\Part 5\log.pcap

# Comments
#
# No entries.

# Hosts
#
# 662 entries.

204.16.255.55	ns1.no-ip.com
69.41.170.223	dns4.nettica.com
204.11.109.62	a.tribalfusion.com
54.240.188.208	d1zgderxoe1a.cloudfront.net
66.235.133.62	condenast.112.2o7.net
141.211.13.252	weblogin.umich.edu
157.166.255.25	www.money.com
192.42.93.30	g.gtld-servers.net
165.215.202.22	pqasb.pqarchiver.com
74.125.225.131	youtube.com
170.149.168.134	dns.ewr1.nytimes.com
64.208.176.39	n3x.akamai.net
74.125.225.137	youtube.com
23.21.68.129	adchoices-icon-cde-1968696106.us-east-1.elb.amazonaws.com
204.13.250.34	ns2.p34.dynect.net
207.171.179.1	ns-02.cloudfront.net
74.125.225.143	ssl.gstatic.com
216.115.110.118	any-ycpi-uno.aycpi.b.yahoodns.net
208.80.154.234	bits-lb.eqiad.wikimedia.org
63.135.90.138	mpp.specificclick.net
72.233.104.123	vip-lb.wordpress.com
170.149.168.146	movies.nytimes.com
54.240.160.182	d1z2jf7jlzjs58.cloudfront.net
74.125.225.149	googlemail.l.google.com
23.63.203.46	e2725.g.akamaiedge.net
69.171.229.16	www.facebook.com
204.74.115.1	pdns6.ultradns.co.uk
72.21.204.209	ns-927.amazonaws.com
65.242.27.31	view.atdmt.com.nsatc.net
192.122.184.82	a1347.g.akamai.net
199.59.150.7	twitter.com
74.125.225.155	dart.l.doubleclick.net
205.251.192.147	ns-147.awsdns-18.com
192.122.184.88	a1467.g2.akamai.net
209.11.220.198	listings.nytimes.com
74.125.225.36	www-google-analytics.l.google.com
76.74.255.117	vip-lb.wordpress.com
64.215.255.73	widgets-lf.clearspring-lf.com.akadns.net
64.94.107.27	anycast-americas.quantserve.com.akadns.net
208.109.138.116	pvaa.us
23.63.175.139	e3821.dspe1.akamaiedge.net
74.125.225.42	blogspot.l.google.com
69.171.255.12	b.ns.facebook.com
4.23.46.45	us-va-2.ns.nsatc.net
76.74.255.123	vip-lb.wordpress.com
66.135.207.137	sjc-dns1.ebaydns.com
63.135.80.34	s30.sitemeter.com
23.62.62.194	ns11-194.akadns.net
69.31.63.114	wikia.com
66.150.117.24	nytimes.webtrends.akadns.net
64.94.107.33	anycast-americas.quantserve.com.akadns.net
74.125.225.48	www2.l.google.com
54.240.160.212	d31qbv1cthcecs.cloudfront.net
192.41.90.142	umichlib.qualtrics.com
128.105.2.10	dns.cs.wisc.edu
207.218.223.162	ns2.theplanet.com
